titulo,data,diario_pdf
Diário Oficial Nº28 (10-07-2020),10/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2408/arquivos/file_202007281046NDBF.pdf
Diário Oficial Nº28B (14-07-2020) - Extra,14/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2410/arquivos/file_202007281042Tokw.pdf
Diário Oficial Nº28C (15-07-2020) - Extra,15/07/2020 às 17:45,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2417/arquivos/file_202007281042pY4b.pdf
Diário Oficial Nº29 (17-07-2020),17/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2412/arquivos/file_202007172011kvBy.pdf
Diário Oficial Nº29B (21-07-2020) - Extra,21/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2418/arquivos/file_2020073010525TVR.pdf
Diário Oficial Nº26 (26-06-2020),26/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2402/arquivos/file_202007081139BsI9.pdf
Diário Oficial Nº26A (29-06-2020) - Extra,29/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2403/arquivos/file_202006300013jccD.pdf
Diário Oficial Nº26B (30-06-2020) - Extra,30/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2404/arquivos/file_202006301817T96D.pdf
Diário Oficial Nº27 (03-07-2020),03/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2407/arquivos/file_202007101301XStz.pdf
Diário Oficial Nº27A (09-07-2020) - Extra,09/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2411/arquivos/file_202007281039DIWv.pdf
Diário Oficial Nº24B (16-06-2020) - Extra,16/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2385/arquivos/file_202006171320FygO.pdf
Diário Oficial Nº24C (17-06-2020) - Extra,17/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2388/arquivos/file_202006171751cl7c.pdf
Diário Oficial Nº25A (22-06-2020) - Extra,22/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2393/arquivos/file_202006222049yjwA.pdf
Diário Oficial Nº25B (23-06-2020) - Extra,23/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/documentos/2397/arquivos/file_202006231830HHxr.pdf
Diário Oficial Nº25C (25-06-2020) - Extra,25/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2398/arquivos/file_202006251805olzp.pdf
Diário Oficial Nº21A (25-05-2020) - Extra,25/05/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2376/arquivos/file_202005281634nuJW.pdf
Diário Oficial Nº22A (01-06-2020) - Extra,01/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2378/arquivos/file_202006021450EtHg.pdf
Diário Oficial Nº23 (05-06-2020),05/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2379/arquivos/file_202006052041JD9n.pdf
Diário Oficial Nº24 (12-06-2020),12/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2380/arquivos/file_202006131207p8Je.pdf
Diário Oficial Nº24A (15-06-2020) - Extra,15/06/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2384/arquivos/file_202006171145ME8p.pdf
Diário Oficial Nº15 (09-04-2020),09/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2356/arquivos/file_202004101452XMp6.pdf
Diário Oficial Nº16A (20-04-2020) - Extra,20/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2361/arquivos/file_202004211715sIUl.pdf
Diário Oficial Nº17A (28-04-2020) - Extra,28/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2364/arquivos/file_2020042818213fcZ.pdf
Diário Oficial Nº18 (30-04-2020),30/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2366/arquivos/file_202004301747isVe.pdf
Diário Oficial Nº20 (15-05-2020),19/05/2020 às 13:46,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2372/arquivos/file_202005191346IFwr.pdf
Diário Oficial Nº13B (01-04-2020) - Extra,01/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2348/arquivos/file_202004011942P55M.pdf
Diário Oficial Nº13C (02-04-2020) - Extra,02/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2349/arquivos/file_202004031440LqAD.pdf
Diário Oficial Nº14 (03-04-2020),03/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2355/arquivos/file_202004111124fYB5.pdf
Diário Oficial Nº14A (07-04-2020) - Extra,07/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2351/arquivos/file_202004072143w4yu.pdf
Diário Oficial Nº14B (08-04-2020) - Extra,08/04/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2352/arquivos/file_202004081943ryoP.pdf
Diário Oficial Nº11D (19-03-2020) - Extra,19/03/2020 às 20:23,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2338/arquivos/file_202101151116mTx7.pdf
Diário Oficial Nº12 (20-03-2020),20/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2341/arquivos/file_20200320204329Ln.pdf
Diário Oficial Nº12C (25-03-2020) - Extra,25/03/2020 às 16:03,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2344/arquivos/file_202003271604iuBC.pdf
Diário Oficial Nº12D (26-03-2020) - Extra,26/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2343/arquivos/file_202003270949yQ6F.pdf
Diário Oficial Nº13A (30-03-2020) - Extra,30/03/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2347/arquivos/file_20200401194175ut.pdf
